Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Group,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR31443351,RNA-Seq,280,7054760162,PRJNA1189476,SAMN44971382,2179129298,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX26812162,uncalculated,uncalculated,missing,JRX,Illumina NovaSeq 6000,GSM8647273,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:01:00Z,1,GSM8647273,lung,SRP546985,lung
SRR31443352,RNA-Seq,280,6899377024,PRJNA1189476,SAMN44971383,2146000582,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX26812161,uncalculated,uncalculated,missing,JRX,Illumina NovaSeq 6000,GSM8647272,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:01:00Z,1,GSM8647272,lung,SRP546985,lung
SRR31443353,RNA-Seq,280,6806553670,PRJNA1189476,SAMN44971384,2118520501,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX26812160,uncalculated,uncalculated,missing,JRX,Illumina NovaSeq 6000,GSM8647271,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:01:00Z,1,GSM8647271,lung,SRP546985,lung
SRR31443354,RNA-Seq,280,6331774740,PRJNA1189476,SAMN44971385,1977709672,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX26812159,uncalculated,uncalculated,missing,JRX,Illumina NovaSeq 6000,GSM8647270,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:02:00Z,1,GSM8647270,lung,SRP546985,lung
SRR31443355,RNA-Seq,280,6925327069,PRJNA1189476,SAMN44971386,2150813805,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX26812158,uncalculated,uncalculated,missing,JRX,Illumina NovaSeq 6000,GSM8647269,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:03:00Z,1,GSM8647269,lung,SRP546985,lung
SRR31443356,RNA-Seq,280,6614596945,PRJNA1189476,SAMN44971387,2063169532,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX26812157,uncalculated,uncalculated,missing,JRX,Illumina NovaSeq 6000,GSM8647268,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:03:00Z,1,GSM8647268,lung,SRP546985,lung
SRR31443357,RNA-Seq,280,7086529962,PRJNA1189476,SAMN44971356,2202935635,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX26812156,uncalculated,uncalculated,missing,YWA,Illumina NovaSeq 6000,GSM8647299,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:03:00Z,1,GSM8647299,lung,SRP546985,lung
SRR31443358,RNA-Seq,281,6759726358,PRJNA1189476,SAMN44971357,2104816384,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX26812155,uncalculated,uncalculated,missing,YWA,Illumina NovaSeq 6000,GSM8647298,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:03:00Z,1,GSM8647298,lung,SRP546985,lung
SRR31443359,RNA-Seq,280,6923741684,PRJNA1189476,SAMN44971358,2153208873,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX26812154,uncalculated,uncalculated,missing,YWA,Illumina NovaSeq 6000,GSM8647297,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:02:00Z,1,GSM8647297,lung,SRP546985,lung
SRR31443360,RNA-Seq,281,6076229184,PRJNA1189476,SAMN44971359,1987429432,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX26812153,uncalculated,uncalculated,missing,WJR,Illumina NovaSeq 6000,GSM8647296,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:03:00Z,1,GSM8647296,lung,SRP546985,lung
SRR31443361,RNA-Seq,281,6198250493,PRJNA1189476,SAMN44971360,2004756723,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX26812152,uncalculated,uncalculated,missing,WJR,Illumina NovaSeq 6000,GSM8647295,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:02:00Z,1,GSM8647295,lung,SRP546985,lung
SRR31443362,RNA-Seq,282,6439620797,PRJNA1189476,SAMN44971361,2158351286,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX26812151,uncalculated,uncalculated,missing,WJR,Illumina NovaSeq 6000,GSM8647294,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:03:00Z,1,GSM8647294,lung,SRP546985,lung
